iter	Passed	Remaining
0	3	3364
1	6	3176
2	9	3255
3	14	3587
4	18	3689
5	21	3610
6	24	3516
7	27	3422
8	30	3347
9	33	3280
10	35	3219
11	38	3139
12	40	3087
13	43	3068
14	46	3041
15	49	3018
16	51	2996
17	54	2978
18	57	2959
19	60	2977
20	63	2966
21	66	2949
22	68	2930
23	72	2935
24	74	2922
25	77	2910
26	79	2880
27	83	2883
28	87	2919
29	92	2976
30	96	3001
31	98	2991
32	102	3002
33	105	2992
34	108	2979
35	110	2965
36	113	2953
37	116	2936
38	118	2927
39	121	2926
40	125	2930
41	127	2919
42	130	2915
43	134	2927
44	138	2941
45	141	2933
46	144	2923
47	146	2910
48	149	2907
49	152	2898
50	155	2890
51	158	2881
52	160	2873
53	164	2874
54	167	2870
55	169	2863
56	172	2855
57	175	2848
58	178	2841
59	180	2835
60	183	2828
61	186	2821
62	189	2817
63	192	2810
64	194	2804
65	197	2794
66	199	2783
67	204	2796
68	207	2799
69	210	2797
70	213	2792
71	216	2795
72	220	2798
73	226	2837
74	230	2838
75	233	2842
76	237	2842
77	243	2876
78	246	2868
79	279	3209
80	282	3204
81	285	3191
82	287	3180
83	290	3165
84	292	3150
85	295	3144
86	299	3143
87	302	3133
88	305	3125
89	308	3117
90	311	3106
91	313	3097
92	316	3087
93	319	3074
94	321	3062
95	324	3058
96	328	3055
97	331	3051
98	334	3043
99	337	3040
100	340	3032
101	343	3024
102	346	3021
103	349	3013
104	352	3005
105	355	2996
106	357	2987
107	360	2980
108	363	2973
109	366	2964
110	369	2956
111	371	2949
112	374	2941
113	377	2936
114	380	2929
115	383	2922
116	386	2914
117	388	2907
118	391	2899
119	394	2894
120	397	2887
121	400	2880
122	403	2873
123	405	2865
124	410	2874
125	413	2871
126	416	2865
127	419	2858
128	422	2852
129	425	2845
130	428	2840
131	431	2837
132	434	2830
133	437	2824
134	440	2820
135	442	2813
136	445	2807
137	448	2801
138	451	2794
139	453	2788
140	456	2782
141	459	2776
142	462	2769
143	465	2767
144	468	2761
145	471	2756
146	474	2751
147	476	2745
148	479	2739
149	481	2731
150	484	2726
151	487	2721
152	490	2716
153	493	2709
154	495	2702
155	498	2696
156	501	2693
157	504	2687
158	507	2681
159	509	2676
160	512	2671
161	515	2666
162	518	2660
163	520	2654
164	523	2648
165	525	2641
166	528	2637
167	532	2634
168	535	2631
169	538	2628
170	541	2626
171	545	2626
172	549	2624
173	551	2619
174	554	2614
175	558	2614
176	563	2620
177	566	2615
178	569	2610
179	571	2603
180	574	2601
181	581	2613
182	585	2613
183	588	2608
184	591	2603
185	593	2599
186	597	2598
187	600	2593
188	603	2588
189	605	2583
190	609	2579
191	612	2575
192	614	2571
193	617	2566
194	620	2562
195	623	2557
196	626	2553
197	629	2549
198	632	2547
199	635	2543
200	638	2538
201	642	2536
202	644	2531
203	647	2526
204	650	2521
205	652	2516
206	655	2511
207	658	2507
208	661	2503
209	664	2498
210	666	2493
211	669	2488
212	674	2493
213	678	2491
214	681	2486
215	683	2481
216	686	2477
217	689	2473
218	692	2468
219	695	2464
220	697	2459
221	700	2454
222	703	2451
223	706	2447
224	709	2442
225	711	2436
226	714	2433
227	717	2430
228	720	2426
229	723	2422
230	726	2419
231	729	2415
232	732	2411
233	735	2408
234	738	2403
235	741	2399
236	744	2395
237	746	2390
238	749	2386
239	752	2383
240	755	2378
241	758	2374
242	760	2369
243	763	2365
244	766	2362
245	769	2358
246	772	2354
247	774	2349
248	777	2345
249	780	2340
250	783	2337
251	786	2333
252	788	2328
253	791	2324
254	794	2320
255	797	2318
256	800	2314
257	803	2310
258	806	2307
259	810	2306
260	813	2303
261	816	2300
262	819	2296
263	822	2292
264	825	2288
265	828	2285
266	831	2282
267	835	2282
268	838	2278
269	841	2274
270	844	2272
271	847	2268
272	850	2264
273	854	2263
274	857	2260
275	860	2256
276	863	2253
277	865	2248
278	868	2245
279	874	2248
280	877	2245
281	880	2241
282	883	2237
283	885	2233
284	889	2231
285	893	2231
286	896	2227
287	899	2223
288	901	2219
289	906	2218
290	909	2215
291	912	2211
292	914	2207
293	917	2203
294	920	2200
295	923	2196
296	927	2194
297	929	2190
